Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
LBX128	continuous	492	TRUE	67.564364041973	14.0593733048142	0.000164882128857432	None	None	0.000164882128857432	LBXHGB	WTSPO4YR	0.0352847755754905	0.00226409104595216	pcbs	Discovery	Hemoglobin
LBX167	continuous	492	TRUE	68.2518980277357	14.2393439579551	0.000169277835211376	None	None	0.000169277835211376	LBXHGB	WTSPO4YR	0.0362254567352345	0.00226409104595216	pcbs	Discovery	Hemoglobin
LBX105	continuous	492	TRUE	66.6490511419958	14.5025433370717	0.000257417710918068	None	None	0.000257417710918068	LBXHGB	WTSPO4YR	0.0550873901364666	0.00321762485100702	pcbs	Discovery	Hemoglobin
LBX172	continuous	453	TRUE	66.632123486704	14.5733753910953	0.000270641342608068	None	None	0.000270641342608068	LBXHGB	WTSPO4YR	0.0579172473181265	0.00321762485100702	pcbs	Discovery	Hemoglobin
URXMCP	continuous	1050	TRUE	-0.0112840909322995	0.00254343011318128	0.000361681748429014	None	None	0.000361681748429014	LBXHGB	WTSPH4YR	0.077399894163809	0.00407367864020048	phthalates	Discovery	Hemoglobin
DR1TPHOS	continuous	3604	TRUE	0.000144215346817384	3.30135200225883e-05	0.000418669565509412	None	None	0.000418669565509412	LBXHGB	WTDR4YR (45 observations are missing weights)	0.0895952870190141	0.00447976435095071	food component recall	Discovery	Hemoglobin
VITAMIN_B_6_mg	continuous	3795	TRUE	0.00075772602583955	0.000180801851405213	0.000613530442463597	None	None	0.000613530442463597	LBXHGB	WTMEC4YR	0.13129551468721	0.0062521673660576	supplement use	Discovery	Hemoglobin
LBX153	continuous	493	TRUE	2.22493610107337	0.569449443721691	0.0011339185929131	None	None	0.0011339185929131	LBXHGB	WTSPO4YR	0.242658578883403	0.011029935403791	pcbs	Discovery	Hemoglobin
DR1TCALC	continuous	3604	TRUE	0.000145930235224841	3.85394576056357e-05	0.00147335611091192	None	None	0.00147335611091192	LBXHGB	WTDR4YR (45 observations are missing weights)	0.315298207735151	0.0137086177276153	food component recall	Discovery	Hemoglobin
URXMBP	continuous	1050	TRUE	-0.00126148082149642	0.000338331217802464	0.00167101003738156	None	None	0.00167101003738156	LBXHGB	WTSPH4YR	0.357596147999654	0.0148998394999856	phthalates	Discovery	Hemoglobin
LBX138	continuous	490	TRUE	2.83095613073122	0.846860214340564	0.00385584591095906	None	None	0.00385584591095906	LBXHGB	WTSPO4YR	0.825151024945239	0.0330060409978096	pcbs	Discovery	Hemoglobin
LBX156	continuous	491	TRUE	43.9788438278982	13.3293002251066	0.0042354766891757	None	None	0.0042354766891757	LBXHGB	WTSPO4YR	0.9063920114836	0.0348566863734552	pcbs	Discovery	Hemoglobin
LBXMIR	continuous	479	TRUE	35.7760876262676	10.9007476676667	0.00439780622468828	None	None	0.00439780622468828	LBXHGB	WTSPO4YR	0.941130532083292	0.0348566863734552	pesticides	Discovery	Hemoglobin
LBXHCB	continuous	458	TRUE	5.902733323438	1.83934732893287	0.00547151598750999	None	None	0.00547151598750999	LBXHGB	WTMEC4YR	1	0.0418180150473978	pesticides	Discovery	Hemoglobin
DR1TPROT	continuous	3604	TRUE	0.00172569971527567	0.000546875907662401	0.00577363291011825	None	None	0.00577363291011825	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0418259409620377	food component recall	Discovery	Hemoglobin
URXOP5	continuous	1287	TRUE	-0.00070799952533133	0.00022487796195188	0.00586344966757537	None	None	0.00586344966757537	LBXHGB	WTSPP4YR	1	0.0418259409620377	diakyl	Discovery	Hemoglobin
DR1TMAGN	continuous	3604	TRUE	0.000640174920824989	0.000210241452119121	0.00731775790937333	None	None	0.00731775790937333	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0505161352453514	food component recall	Discovery	Hemoglobin
DR1TFIBE	continuous	3604	TRUE	0.006391942201861	0.00228178189125323	0.0122719296073399	None	None	0.0122719296073399	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0797853974260495	food component recall	Discovery	Hemoglobin
LBX180	continuous	492	TRUE	2.47417712708787	0.886337735828073	0.0125284531660827	None	None	0.0125284531660827	LBXHGB	WTSPO4YR	1	0.0797853974260495	pcbs	Discovery	Hemoglobin
LBX101	continuous	493	TRUE	24.2324842670971	8.69830545490482	0.0126761846377836	None	None	0.0126761846377836	LBXHGB	WTSPO4YR	1	0.0797853974260495	pcbs	Discovery	Hemoglobin
URXETL	continuous	1053	TRUE	9.04597594968557e-05	3.28634262327385e-05	0.0135937931652604	None	None	0.0135937931652604	LBXHGB	WTSPH4YR	1	0.0831163353533062	phytoestrogens	Discovery	Hemoglobin
DR1TPOTA	continuous	3604	TRUE	4.8660754822855e-05	1.81827581669183e-05	0.0159470756102865	None	None	0.0159470756102865	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0914364279148989	food component recall	Discovery	Hemoglobin
LBX183	continuous	493	TRUE	17.0082620981535	6.37190921879345	0.0161794333331555	None	None	0.0161794333331555	LBXHGB	WTSPO4YR	1	0.0914364279148989	pcbs	Discovery	Hemoglobin
DR1TPFAT	continuous	3604	TRUE	0.00638155092338145	0.00239227201912372	0.0162363750503091	None	None	0.0162363750503091	LBXHGB	WTDR4YR (45 observations are missing weights)	1	0.0914364279148989	food component recall	Discovery	Hemoglobin
