"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"URXMBP" "continuous" 1043 TRUE "-0.000413332972809296" "0.000193460627202547" "0.0484311948740474" "None" "None" 0.0484311948740474 "logLBXB12" "WTSPH4YR" 1 0.31975165839447
"URXP06" "continuous" 984 TRUE "-9.25051839605136e-06" "4.35137381856515e-06" "0.0494302080609809" "None" "None" 0.0494302080609809 "logLBXB12" "WTSPH4YR" 1 0.31975165839447
"URXP14" "continuous" 966 TRUE "-0.00356030217309982" "0.00169298002922808" "0.0516457807101934" "None" "None" 0.0516457807101934 "logLBXB12" "WTMEC4YR" 1 0.323959897182122
"DR1TCAFF" "continuous" 3703 TRUE "-0.000403376369072232" "0.000194425816565274" "0.0545059673165225" "None" "None" 0.0545059673165225 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.331845153956475
"URXMNM" "continuous" 560 TRUE "-0.0017792306849554" "0.000615327584381563" "0.0629351565262105" "None" "None" 0.0629351565262105 "logLBXB12" "WTSPH4YR" 1 0.357903339549694
"URXMEP" "continuous" 1043 TRUE "3.92351654958715e-05" "1.96702757259236e-05" "0.0634063793223016" "None" "None" 0.0634063793223016 "logLBXB12" "WTSPH4YR" 1 0.357903339549694
"URXUPB" "continuous" 983 TRUE "-0.00997116544937029" "0.00503912998958548" "0.0653228277945291" "None" "None" 0.0653228277945291 "logLBXB12" "WTSHM4YR" 1 0.357903339549694
"LBX074" "continuous" 486 TRUE "4.72362888360508" "2.39092142818336" "0.0657020623327941" "None" "None" 0.0657020623327941 "logLBXB12" "WTSPO4YR" 1 0.357903339549694
"DR1TVB1" "continuous" 3703 TRUE "0.024538102722275" "0.0126570177799805" "0.0703857273659933" "None" "None" 0.0703857273659933 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.37358578371181
"DR1TFDFE" "continuous" 2017 TRUE "6.04311610492296e-05" "2.2449303252402e-05" "0.074294640060137" "None" "None" 0.074294640060137 "logLBXB12" "WTDR4YR" 1 0.382404179226081
