"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TSELE" "continuous" 10140 TRUE "0.000445367621368539" "0.000121513363423876" "0.00191748258994653" "None" "None" 0.00191748258994653 "logLBXB12" "WTDRD1" 0.113131472806845 0.00390108526920155
"VITAMIN_B_6_mg" "continuous" 10132 TRUE "-0.000597491479701129" "0.000165747851222488" "0.00218590717249968" "None" "None" 0.00218590717249968 "logLBXB12" "WTMEC2YR" 0.128968523177481 0.00429895077258271
"use_water_treatment" "categorical" 10083 TRUE "None" "None" "None" "0.00248096601573073" "None" 0.00248096601573073 "logLBXB12" "WTMEC2YR" 0.146376994928113 0.00472183854606817
"total_days_drink_year" "continuous" 4817 TRUE "-0.000243904521533345" "6.94958985906554e-05" "0.00268737490229741" "None" "None" 0.00268737490229741 "logLBXB12" "WTMEC2YR" 0.158555119235547 0.00495484747611085
"LBXVIA" "continuous" 10027 TRUE "0.00164922830295748" "0.000478972040863928" "0.003103037808067" "None" "None" 0.003103037808067 "logLBXB12" "WTMEC2YR" 0.183079230675953 0.00554785547502888
"URXUPT" "continuous" 3347 TRUE "0.0225354139453092" "0.00659340645434446" "0.00327846806382226" "None" "None" 0.00327846806382226 "logLBXB12" "WTSA2YR" 0.193429615765513 0.00568910634604451
"URXDMA" "continuous" 3254 TRUE "0.00012006155163122" "3.83293695481794e-05" "0.0060684323425304" "None" "None" 0.0060684323425304 "logLBXB12" "WTSB2YR" 0.358037508209294 0.0102296430916941
"LBXFOL" "continuous" 10134 TRUE "0.00888065201233236" "0.00297635738193184" "0.00833883629189279" "None" "None" 0.00833883629189279 "logLBXB12" "WTMEC2YR" 0.491991341221675 0.0136664261450465
"URXMNP" "continuous" 3272 TRUE "-0.00237109472865571" "0.00088678520847287" "0.0160267808656552" "None" "None" 0.0160267808656552 "logLBXB12" "WTSB2YR" 0.945580071073659 0.0255562181371259
"LBXBPB" "continuous" 10128 TRUE "-0.00987122817407734" "0.00376718475293271" "0.0179105327424779" "None" "None" 0.0179105327424779 "logLBXB12" "WTMEC2YR" 1 0.027808458731742
"LBXVTC" "continuous" 3569 TRUE "-0.267993906452872" "0.106490678471532" "0.0221807911090039" "None" "None" 0.0221807911090039 "logLBXB12" "WTMEC2YR" 1 0.033555555780288
"URXETL" "continuous" 3266 TRUE "8.91208337100023e-06" "3.72818866072733e-06" "0.0286742104662359" "None" "None" 0.0286742104662359 "logLBXB12" "WTSB2YR" 1 0.0422944604376979
"URXP02" "continuous" 1648 TRUE "-4.08436592119756e-06" "1.41956521969759e-06" "0.0636747119806462" "None" "None" 0.0636747119806462 "logLBXB12" "WTSB2YR" 1 0.0916294635819055
"DR1TZINC" "continuous" 10140 TRUE "0.00361013407786605" "0.00186109557435408" "0.0691817459246249" "None" "None" 0.0691817459246249 "logLBXB12" "WTDRD1" 1 0.0971838811798302
"num_months_longest_job" "continuous" 2887 TRUE "-0.000167468619337164" "7.05756818576444e-05" "0.0982465199459541" "None" "None" 0.0982465199459541 "logLBXB12" "WTMEC2YR" 1 0.134803364577007
"quantity_drink_per_day" "continuous" 4821 TRUE "-0.00594632406686113" "0.00343187561986896" "0.101254347503138" "None" "None" 0.101254347503138 "logLBXB12" "WTMEC2YR" 1 0.135772875061026
"URXUPB" "continuous" 3347 TRUE "-0.0150322757483957" "0.0110339590577308" "0.190861295109218" "None" "None" 0.190861295109218 "logLBXB12" "WTSA2YR" 1 0.248728943181781
"SELENIUM_mcg" "continuous" 10140 TRUE "0.00024957750113348" "0.000184526606303642" "0.193924260785796" "None" "None" 0.193924260785796 "logLBXB12" "WTMEC2YR" 1 0.248728943181781
"URXUSB" "continuous" 3347 TRUE "0.0127582226390918" "0.0095519456680623" "0.199266160872434" "None" "None" 0.199266160872434 "logLBXB12" "WTSA2YR" 1 0.250142627478161
"IRON_mg" "continuous" 10109 TRUE "4.18940706435571e-05" "3.64127201200357e-05" "0.265851329371689" "None" "None" 0.265851329371689 "logLBXB12" "WTMEC2YR" 1 0.326775592352701
"VITAMIN_A_IU" "continuous" 10133 TRUE "8.92007578460868e-07" "7.99483029534973e-07" "0.280061202560776" "None" "None" 0.280061202560776 "logLBXB12" "WTMEC2YR" 1 0.330702579330452
"MAGNESIUM_mg" "continuous" 10135 TRUE "3.57930324667063e-05" "3.25386104225318e-05" "0.286658182883546" "None" "None" 0.286658182883546 "logLBXB12" "WTMEC2YR" 1 0.330702579330452
"POTASSIUM_mg" "continuous" 10140 TRUE "2.09930149623858e-05" "1.90933238062851e-05" "0.286879367365591" "None" "None" 0.286879367365591 "logLBXB12" "WTMEC2YR" 1 0.330702579330452
"PHOSPHORUS_mg" "continuous" 10139 TRUE "1.25809895331026e-05" "1.1631535522225e-05" "0.294523236599532" "None" "None" 0.294523236599532 "logLBXB12" "WTMEC2YR" 1 0.330702579330452
"COPPER_mg" "continuous" 10133 TRUE "0.00085826003152985" "0.000797827927431798" "0.297071808551084" "None" "None" 0.297071808551084 "logLBXB12" "WTMEC2YR" 1 0.330702579330452
"LBXIHG" "continuous" 10058 TRUE "0.0173483420246032" "0.0188760806500827" "0.370918847754927" "None" "None" 0.370918847754927 "logLBXB12" "WTMEC2YR" 1 0.405263185510013
"DR1TTHEO" "continuous" 10140 TRUE "6.81284746493808e-05" "8.38368775790843e-05" "0.427663603264616" "None" "None" 0.427663603264616 "logLBXB12" "WTDRD1" 1 0.457692832417938
"LBX177" "continuous" 1466 TRUE "0.604782739782514" "0.6794084107482" "0.438956268860098" "None" "None" 0.438956268860098 "logLBXB12" "WTSC2YR" 1 0.457692832417938
"LBX128" "continuous" 1465 TRUE "4.36200947321849" "4.93897864794154" "0.442177821149533" "None" "None" 0.442177821149533 "logLBXB12" "WTSC2YR" 1 0.457692832417938
"LBXMIR" "continuous" 1532 TRUE "-0.126906741920932" "0.16159181062254" "0.48955936305094" "None" "None" 0.48955936305094 "logLBXB12" "WTSB2YR" 1 0.498000041724232
"LBXHXC" "continuous" 1450 TRUE "0.000108505210405069" "0.000151094660474016" "0.524552326756327" "None" "None" 0.524552326756327 "logLBXB12" "WTSC2YR" 1 0.524552326756327
