"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TPHOS" "continuous" 10194 TRUE "7.07294281582786e-05" "9.48505050423281e-06" "6.57079537832879e-07" "None" "None" 6.57079537832879e-07 "logLBXRBF" "WTDRD1" 4.20530904213043e-05 1.50189608647515e-06
"URXMZP" "continuous" 3399 TRUE "-2.00491963110099e-05" "2.7581749318761e-06" "9.32888021618425e-07" "None" "None" 9.32888021618425e-07 "logLBXRBF" "WTSB2YR" 5.97048333835792e-05 2.05878735805445e-06
"SMQ020" "categorical" 8218 TRUE "None" "None" "None" "9.68079757305265e-07" "None" 9.68079757305265e-07 "logLBXRBF" "WTMEC2YR" 6.19571044675369e-05 2.06523681558456e-06
"LBXGTC" "continuous" 10386 TRUE "-0.000423591294112609" "5.93956042772735e-05" "1.20880531638441e-06" "None" "None" 1.20880531638441e-06 "logLBXRBF" "WTMEC2YR" 7.73635402486025e-05 2.49559807253556e-06
"DR1TCARB" "continuous" 10194 TRUE "0.000286227527591372" "4.03874555432181e-05" "1.31579679368964e-06" "None" "None" 1.31579679368964e-06 "logLBXRBF" "WTDRD1" 8.42109947961371e-05 2.63159358737929e-06
"LBXLUZ" "continuous" 10413 TRUE "0.00345485428310182" "0.000504797433022505" "2.09742250242162e-06" "None" "None" 2.09742250242162e-06 "logLBXRBF" "WTMEC2YR" 0.000134235040154984 4.06772848954496e-06
"cigarette_smoking" "categorical" 5953 TRUE "None" "None" "None" "2.30312294487432e-06" "None" 2.30312294487432e-06 "logLBXRBF" "WTMEC2YR" 0.000147399868471957 4.3352902491752e-06
"DR1TCRYP" "continuous" 10194 TRUE "0.000149062444228997" "2.21316140180551e-05" "2.59091867055582e-06" "None" "None" 2.59091867055582e-06 "logLBXRBF" "WTDRD1" 0.000165818794915572 4.73767985473064e-06
"DR1TSELE" "continuous" 10194 TRUE "0.000565274643236759" "9.50072199541855e-05" "1.24921510174309e-05" "None" "None" 1.24921510174309e-05 "logLBXRBF" "WTDRD1" 0.000799497665115575 2.22082684754326e-05
"LBXBPB" "continuous" 10593 TRUE "-0.0217158785127121" "0.00394324993026854" "3.14034576220202e-05" "None" "None" 3.14034576220202e-05 "logLBXRBF" "WTMEC2YR" 0.00200982128780929 5.4319494265116e-05
"DR1TCAFF" "continuous" 10194 TRUE "-0.000184951694980746" "3.54584324644529e-05" "5.83080024591157e-05" "None" "None" 5.83080024591157e-05 "logLBXRBF" "WTDRD1" 0.00373171215738341 9.82029515100896e-05
"DR1TZINC" "continuous" 10194 TRUE "0.00415274119689737" "0.000814838309520819" "7.53935303977074e-05" "None" "None" 7.53935303977074e-05 "logLBXRBF" "WTDRD1" 0.00482518594545327 0.000123722716550084
"DR1TPROT" "continuous" 10194 TRUE "0.00074030396731111" "0.000162864949237165" "0.000250563506395015" "None" "None" 0.000250563506395015 "logLBXRBF" "WTDRD1" 0.016036064409281 0.000400901610232024
"DR1TVB12" "continuous" 10194 TRUE "0.0047169558159066" "0.00108182784828867" "0.000377292378836384" "None" "None" 0.000377292378836384 "logLBXRBF" "WTDRD1" 0.0241467122455286 0.000588944201110453
"URXMNP" "continuous" 3399 TRUE "-0.00225252658589955" "0.000666844102070261" "0.00335161588841985" "None" "None" 0.00335161588841985 "logLBXRBF" "WTSB2YR" 0.21450341685887 0.00510722421092549
"quantity_drink_per_day" "continuous" 4932 TRUE "-0.00812635322892138" "0.00254892331101727" "0.00509340957792563" "None" "None" 0.00509340957792563 "logLBXRBF" "WTMEC2YR" 0.32597821298724 0.00758088867412187
"URXP20" "continuous" 1501 TRUE "0.00143354917720841" "0.000259291067851764" "0.00522885396486337" "None" "None" 0.00522885396486337 "logLBXRBF" "WTMEC2YR" 0.334646653751256 0.00760560576707399
"URXP04" "continuous" 1649 TRUE "-5.0558278898065e-05" "9.5268013709052e-06" "0.00605865294005699" "None" "None" 0.00605865294005699 "logLBXRBF" "WTSB2YR" 0.387753788163647 0.00861675084808105
"DRD350HQ" "continuous" 3003 TRUE "-0.0144959790802656" "0.00505279891768018" "0.0102077568121788" "None" "None" 0.0102077568121788 "logLBXRBF" "WTDRD1 (8 observations are missing weights)" 0.653296435979443 0.0142020964343357
"URXP03" "continuous" 1634 TRUE "-8.17501488732624e-05" "1.80533369181458e-05" "0.0105914052886088" "None" "None" 0.0105914052886088 "logLBXRBF" "WTSB2YR" 0.677849938470964 0.0144223391164035
"DR1TP184" "continuous" 10194 TRUE "0.49195587343078" "0.174808783392015" "0.0114805019646285" "None" "None" 0.0114805019646285 "logLBXRBF" "WTDRD1" 0.734752125736226 0.015307335952838
"DSDCOUNT" "continuous" 10603 TRUE "0.0301215260609962" "0.0110061996381175" "0.0135489933119059" "None" "None" 0.0135489933119059 "logLBXRBF" "WTMEC2YR" 0.867135571961978 0.0176966443257546
"DR1TP226" "continuous" 10194 TRUE "0.092712175973349" "0.0347861994500714" "0.0157735706538057" "None" "None" 0.0157735706538057 "logLBXRBF" "WTDRD1" 1 0.0201901704368713
"DR1TM221" "continuous" 10194 TRUE "0.0777578509393135" "0.0319465133664775" "0.0255740773948899" "None" "None" 0.0255740773948899 "logLBXRBF" "WTDRD1" 1 0.0320929598680971
"ever_loud_noise_gt3" "categorical" 2560 TRUE "None" "None" "None" "0.0408702395164084" "None" 0.0408702395164084 "logLBXRBF" "WTMEC2YR" 1 0.0503018332509641
"LBXMIR" "continuous" 1562 TRUE "-0.424396727208574" "0.149020757413013" "0.0464942652932727" "None" "None" 0.0464942652932727 "logLBXRBF" "WTSB2YR" 1 0.0561440184673481
"URXUPB" "continuous" 3487 TRUE "-0.025611113378525" "0.0120781524468573" "0.0481198469509391" "None" "None" 0.0481198469509391 "logLBXRBF" "WTSA2YR" 1 0.0570309297196316
"smell_tobacco" "categorical" 2559 TRUE "None" "None" "None" "0.0572160876063732" "None" 0.0572160876063732 "logLBXRBF" "WTMEC2YR" 1 0.0665787201237797
"age_started_birth_control" "continuous" 2801 TRUE "0.00352377487064259" "0.00188996089737348" "0.0777805215397526" "None" "None" 0.0777805215397526 "logLBXRBF" "WTMEC2YR" 1 0.0873976797017244
"URXP02" "continuous" 1694 TRUE "-3.69399272997828e-06" "1.56662566279257e-06" "0.0778385584843483" "None" "None" 0.0778385584843483 "logLBXRBF" "WTSB2YR" 1 0.0873976797017244
"URXUUR" "continuous" 3487 TRUE "-0.403559642519223" "0.254980985774994" "0.130900403841706" "None" "None" 0.130900403841706 "logLBXRBF" "WTMEC2YR" 1 0.144441824928779
"COPPER_mg" "continuous" 10606 TRUE "0.000622064103969048" "0.000907648078562246" "0.501849657822156" "None" "None" 0.501849657822156 "logLBXRBF" "WTMEC2YR" 1 0.544379289840983
"LBXPDE" "continuous" 1571 TRUE "0.00104444929761477" "0.00145420547136639" "0.512332932958184" "None" "None" 0.512332932958184 "logLBXRBF" "WTSB2YR" 1 0.546488461822063
"URXUCS" "continuous" 3487 TRUE "0.000263384305638039" "0.000712961880929514" "0.716122816094646" "None" "None" 0.716122816094646 "logLBXRBF" "WTSA2YR" 1 0.751341970984547
"LBXF08" "continuous" 1485 TRUE "1.86131728505055e-05" "0.000157157523251673" "0.91143132298761" "None" "None" 0.91143132298761 "logLBXRBF" "WTSC2YR" 1 0.934486627810756
"LBX101" "continuous" 1521 TRUE "0.070126813393327" "0.654934047981136" "0.919885274251213" "None" "None" 0.919885274251213 "logLBXRBF" "WTSC2YR" 1 0.934486627810756
"num_months_main_job" "continuous" 2557 TRUE "5.35057677646474e-06" "0.000133600527919868" "0.969973230786733" "None" "None" 0.969973230786733 "logLBXRBF" "WTMEC2YR" 1 0.969973230786733
