Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
SMD410	categorical	10136	TRUE	None	None	None	4.63678928648293e-06	None	4.63678928648293e-06	logLBXB12	WTMEC2YR	0.000273570567902493	1.70981604939058e-05	smoking family	Replication	VB12
LBXRPL	continuous	9812	TRUE	0.0308195435678714	0.00476184874829994	5.74045328545102e-06	None	None	5.74045328545102e-06	logLBXB12	WTMEC2YR	0.00033868674384161	1.99227496377418e-05	nutrients	Replication	VB12
DR1TIRON	continuous	10140	TRUE	0.00588410377548755	0.000945422841027818	9.25725358308634e-06	None	None	9.25725358308634e-06	logLBXB12	WTDRD1	0.000546177961402094	2.88407567793863e-05	food component recall	Replication	VB12
DR1TPOTA	continuous	10140	TRUE	4.3434391761835e-05	6.98177399469057e-06	9.30532776065668e-06	None	None	9.30532776065668e-06	logLBXB12	WTDRD1	0.000549014337878744	2.88407567793863e-05	food component recall	Replication	VB12
DR1TPHOS	continuous	10140	TRUE	8.65680975461725e-05	1.39723242754974e-05	9.77652772182586e-06	None	None	9.77652772182586e-06	logLBXB12	WTDRD1	0.000576815135587725	2.88407567793863e-05	food component recall	Replication	VB12
DR1TMAGN	continuous	10140	TRUE	0.000444105985034554	7.28498315867794e-05	1.18711565949193e-05	None	None	1.18711565949193e-05	logLBXB12	WTDRD1	0.00070039823910024	3.33522971000114e-05	food component recall	Replication	VB12
DR1TFIBE	continuous	10140	TRUE	0.00539226971940785	0.000940216739302692	2.42774766825502e-05	None	None	2.42774766825502e-05	logLBXB12	WTDRD1	0.00143237112427046	6.510777837593e-05	food component recall	Replication	VB12
taking_birth_control	categorical	1543	TRUE	None	None	None	2.55206566322102e-05	None	2.55206566322102e-05	logLBXB12	WTMEC2YR	0.0015057187413004	6.54660322304521e-05	reproductive health	Replication	VB12
DR1TPROT	continuous	10140	TRUE	0.00107986220870658	0.00023737975486747	0.000284309550770884	None	None	0.000284309550770884	logLBXB12	WTDRD1	0.0167742634954822	0.000698927645645091	food component recall	Replication	VB12
DR1TNIAC	continuous	10140	TRUE	0.00309088999809778	0.000683551176890258	0.000301366075299568	None	None	0.000301366075299568	logLBXB12	WTDRD1	0.0177805984426745	0.00071122393770698	food component recall	Replication	VB12
LBXRBF	continuous	5124	TRUE	0.00344975789976526	0.000638161756556813	3.89095607334756e-05	None	None	3.89095607334756e-05	anemia	WTMEC2YR	0.000155638242933902	0.000155638242933902	nutrients	Replication	UA
LBXVIA	continuous	5077	TRUE	-0.0252277943213932	0.0066160168752177	0.00127354852929835	None	None	0.00127354852929835	anemia	WTMEC2YR	0.00509419411719339	0.00252239587720143	nutrients	Replication	UA
supplement_count	continuous	5121	TRUE	0.230111018254605	0.0632959089229022	0.00189179690790107	None	None	0.00189179690790107	anemia	WTMEC2YR	0.0075671876316043	0.00252239587720143	supplement use	Replication	UA
LBXGTC	continuous	5060	TRUE	-0.00208308386005571	0.000722130147905121	0.00986722716284278	None	None	0.00986722716284278	anemia	WTMEC2YR	0.0394689086513711	0.00986722716284278	nutrients	Replication	UA
