Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
LBXGTC	continuous	9389	TRUE	-0.0282005446824902	0.00273786372646443	5.65431128637417e-09	None	None	5.65431128637417e-09	LBXSIR	WTMEC4YR	1.82068823421248e-06	9.10344117106242e-07	nutrients	Discovery	Iron
DR1TALCO	continuous	9665	TRUE	0.127054235809671	0.0136137604209907	2.55668621896326e-08	None	None	2.55668621896326e-08	LBXSIR	WTDR4YR (16 observations are missing weights)	8.23252962506168e-06	2.74417654168723e-06	food component recall	Discovery	Iron
total_days_drink_year	continuous	4779	TRUE	0.0392711854401374	0.00778590040210694	8.44373239480054e-05	None	None	8.44373239480054e-05	LBXSIR	WTMEC4YR	0.0271888183112577	0.00679720457781443	alcohol use	Discovery	Iron
LBXMIR	continuous	3100	TRUE	3.09613139419105	0.687936189292504	0.000276627946033245	None	None	0.000276627946033245	LBXSIR	WTSPO4YR	0.089074198622705	0.017814839724541	pesticides	Discovery	Iron
DRD370DQ	continuous	671	TRUE	-2.76297364798685	0.701663489052506	0.00106115845453216	None	None	0.00106115845453216	LBXSIR	WTDR4YR (1 observations are missing weights)	0.341693022359354	0.0569488370598924	food component recall	Discovery	Iron
DR1TIRON	continuous	9632	TRUE	0.00535919205053523	0.000392881255092069	1.38382179937292e-10	None	None	1.38382179937292e-10	logLBXRBF	WTDR4YR (16 observations are missing weights)	4.4143915399996e-08	4.4143915399996e-08	food component recall	Discovery	Folate
LBXCOT	continuous	9711	TRUE	-0.000479879782985423	4.60316212403829e-05	8.38323497940195e-09	None	None	8.38323497940195e-09	logLBXRBF	WTMEC4YR	2.67425195842922e-06	9.22148422654248e-07	cotinine	Discovery	Folate
LBXVIA	continuous	9855	TRUE	0.00367925826048724	0.000356560144365439	9.75561312261057e-09	None	None	9.75561312261057e-09	logLBXRBF	WTMEC4YR	3.11204058611277e-06	9.22148422654248e-07	nutrients	Discovery	Folate
SMD410	categorical	9983	TRUE	None	None	None	1.15629896257586e-08	None	1.15629896257586e-08	logLBXRBF	WTMEC4YR	3.68859369061699e-06	9.22148422654248e-07	smoking family	Discovery	Folate
DR1TVB1	continuous	9632	TRUE	0.0484409976347948	0.00502943562445501	2.67680805053101e-08	None	None	2.67680805053101e-08	logLBXRBF	WTDR4YR (16 observations are missing weights)	8.53901768119393e-06	1.70780353623879e-06	food component recall	Discovery	Folate
LBXVIE	continuous	9824	TRUE	0.000111474891094308	1.25451012516035e-05	8.49042841461958e-08	None	None	8.49042841461958e-08	logLBXRBF	WTMEC4YR	2.70844666426365e-05	4.34237248603566e-06	nutrients	Discovery	Folate
DR1TVB2	continuous	9632	TRUE	0.0369434563510982	0.0041916207837519	9.52871705399674e-08	None	None	9.52871705399674e-08	logLBXRBF	WTDR4YR (16 observations are missing weights)	3.03966074022496e-05	4.34237248603566e-06	food component recall	Discovery	Folate
DR1TVB6	continuous	9632	TRUE	0.0383624398016697	0.00478555749273364	3.55016110584965e-07	None	None	3.55016110584965e-07	logLBXRBF	WTDR4YR (16 observations are missing weights)	0.000113250139276604	1.41562674095755e-05	food component recall	Discovery	Folate
